,ADLStream,KUE,BA-AD,HAT,ARF,BO
RBFi-slow,0.9548853187228649,0.8814285200975785,0.8876979059766528,0.7923935596719102,0.9249172201171132,0.8790621322009494
RBFi-fast,0.474428678112918,0.3514233027295177,0.494499082789075,0.4228142408590186,0.7787987662682238,0.3994291103015496
LED-4,0.6879781824901265,0.7085367405366978,0.7098581930139493,0.7074156200644437,0.709311488300823,0.7072985030206599
RTGa,0.8475375456550307,0.9124923823249804,0.816026861012388,0.8715860624208738,0.8196631866627394,0.8539981887895803
RTGa3,0.7657569688421262,0.8204645064610112,0.7912136899083059,0.8264368194410558,0.7034717365439943,0.594037841317981
ARGWa-F1F4,0.8549274728560421,0.843731107113586,0.8490501381009015,0.8492920460478098,0.7663017271088404,0.7599472926698677
ARGWa-F2F5F8,0.796201836842933,0.7133577448262111,0.7035791732929886,0.5840499263744143,0.504135320491092,0.5107658321149788
SEAa-F2F4,0.7885173012940438,0.7835604160824994,0.7785796275497976,0.7787163244070987,0.7902470240823336,0.7743286098179176
RTGg,0.80363073532366,0.87755203320317,0.84832457608535,0.8128952042775709,0.75198076214652,0.8086376793411693
RTGg3,0.6613001998833052,0.7371117992795727,0.7162658483714125,0.684511776296176,0.49220962995500755,0.5262001423569462
ARGWg-F1F4,0.8296135242170711,0.7923478683146411,0.7946623053546645,0.7308346751592668,0.6903409803482958,0.7044347161671605
ARGWg-F2F5F8,0.6926932817804162,0.5816795381288072,0.4813584605828668,0.39189200323909623,0.2944429527846086,0.4436276133329711
SEAg-F2F4,0.7863619301598507,0.7815306966305189,0.7768247442938349,0.7772322316102273,0.7880142188802606,0.7739899571885045
ARGWa-F3F6F3F6,0.8658236660744177,0.8117522285636875,0.8279703986292368,0.8382662979533791,0.7358790362818766,0.7288405997600685
ARGWg-F3F6F3F6,0.7702098477126967,0.7116055696217309,0.6953883686792703,0.6008334188146294,0.5985007060558318,0.6069230880538471
